カテゴリ名,プロンプト
雑談テーマ,配信で話せる面白い雑談テーマを一つ提案してください（日常的な話題、トレンド、季節のネタなど）。説明は不要です。テーマだけを簡潔に答えてください。
深い質問,配信で語れる考えさせられる質問を一つ提案してください（人生観、価値観、哲学的な問いなど）。説明は不要です。質問だけを答えてください。
思い出話,配信で話せる思い出のエピソードのお題を一つ提案してください（学生時代、子供の頃、最近の出来事など）。説明は不要です。お題だけを答えてください。
好きなもの紹介,配信で紹介できる「好きなもの」のお題を一つ提案してください（食べ物、場所、趣味、キャラクターなど）。説明は不要です。お題だけを答えてください。
おすすめ紹介,配信で紹介できる「おすすめ」のお題を一つ提案してください（作品、場所、商品、アプリなど）。説明は不要です。カテゴリだけを答えてください。
もしもの話,配信で盛り上がる「もしも」の仮定質問を一つ提案してください（もしも〇〇だったら？など）。説明は不要です。質問だけを答えてください。
視聴者への質問,配信で視聴者に投げかける質問を一つ提案してください（コメント欄が盛り上がる質問）。説明は不要です。質問だけを答えてください。
最近の出来事,配信で話せる「最近あった出来事」のお題を一つ提案してください（体験、発見、変化など）。説明は不要です。お題だけを答えてください。
理想と現実,配信で語れる「理想と現実のギャップ」のお題を一つ提案してください（想像と違ったこと、憧れと現実など）。説明は不要です。お題だけを答えてください。
ランキング,配信で発表できるランキングのお題を一つ提案してください（好きな〇〇トップ3など）。説明は不要です。お題だけを答えてください。
悩み相談,配信で話せる軽い悩みのお題を一つ提案してください（日常の小さな悩み、あるあるネタなど）。説明は不要です。お題だけを答えてください。
未来の話,配信で語れる未来に関するお題を一つ提案してください（夢、目標、やってみたいことなど）。説明は不要です。お題だけを答えてください。
比較質問,配信で盛り上がる比較質問を一つ提案してください（AとBどっち派？など）。説明は不要です。質問だけを答えてください。
お題縛りトーク,配信で実施できるトークの縛りやルールを一つ提案してください（特定の言葉を使う/使わない、時間制限など）。説明は不要ですが、縛りの内容は具体的に答えてください。
意外な一面,配信で明かせる意外な一面や特技のお題を一つ提案してください（視聴者が驚くような意外性のあるもの）。説明は不要です。お題だけを答えてください。
あるあるトーク,配信で共感を呼ぶ「あるある」ネタのお題を一つ提案してください（配信者あるある、生活あるあるなど）。説明は不要です。お題だけを答えてください。
失敗談,配信で話せる面白い失敗談のお題を一つ提案してください（恥ずかしい失敗、笑える失敗など）。説明は不要です。お題だけを答えてください。
初めての体験,配信で語れる「初めて〇〇した時」のお題を一つ提案してください（初体験のエピソード）。説明は不要です。お題だけを答えてください。
こだわりトーク,配信で語れる「こだわり」のお題を一つ提案してください（マイルール、好みのこだわりなど）。説明は不要です。お題だけを答えてください。
感動した話,配信で話せる感動したエピソードのお題を一つ提案してください（心に残った出来事、感謝の気持ちなど）。説明は不要です。お題だけを答えてください。
