カテゴリ名,プロンプト
日常生活の2択,日常生活に関する究極の2択を一つ提案してください（例：「朝型人間になる」vs「夜型人間になる」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
能力の2択,手に入れたい能力に関する究極の2択を一つ提案してください（例：「透明人間になれる」vs「空を飛べる」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
人生の2択,人生の選択に関する究極の2択を一つ提案してください（例：「お金持ちだけど孤独」vs「貧乏だけど愛に溢れている」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
時間の2択,時間に関する究極の2択を一つ提案してください（例：「過去に戻れる」vs「未来に行ける」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
食べ物の2択,食べ物に関する究極の2択を一つ提案してください（例：「一生肉だけ」vs「一生野菜だけ」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
娯楽の2択,娯楽やエンターテインメントに関する究極の2択を一つ提案してください（例：「映画見放題」vs「ゲームやり放題」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
仕事の2択,仕事やキャリアに関する究極の2択を一つ提案してください（例：「好きな仕事で低収入」vs「嫌いな仕事で高収入」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
住む場所の2択,住む場所に関する究極の2択を一つ提案してください（例：「都会に住む」vs「田舎に住む」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
制約の2択,何かの制約に関する究極の2択を一つ提案してください（例：「一生スマホ禁止」vs「一生お菓子禁止」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
異世界の2択,ファンタジーや異世界に関する究極の2択を一つ提案してください（例：「魔法使いになる」vs「勇者になる」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
恋愛の2択,恋愛に関する究極の2択を一つ提案してください（例：「美男美女だけど性格悪い」vs「見た目普通だけど性格良い」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
動物の2択,動物になるとしたらという究極の2択を一つ提案してください（例：「犬になる」vs「猫になる」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
季節の2択,季節に関する究極の2択を一つ提案してください（例：「一年中夏」vs「一年中冬」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
人間関係の2択,人間関係に関する究極の2択を一つ提案してください（例：「友達100人」vs「親友1人」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
配信者の2択,配信活動に関する究極の2択を一つ提案してください（例：「登録者多いけどコメント少ない」vs「登録者少ないけどコメント多い」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
感覚の2択,五感や感覚に関する究極の2択を一つ提案してください（例：「視覚を失う」vs「聴覚を失う」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
名声の2択,有名になることに関する究極の2択を一つ提案してください（例：「世界的に有名だけど批判も多い」vs「知る人ぞ知る存在で愛されている」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
極限の2択,極限状態での究極の2択を一つ提案してください（例：「無人島に1つだけ持っていける物」など、比較形式で）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
才能の2択,才能やスキルに関する究極の2択を一つ提案してください（例：「絵が超上手い」vs「歌が超上手い」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
価値観の2択,価値観に関する究極の2択を一つ提案してください（例：「自由だけど不安定」vs「制約があるけど安定」など）。説明は不要です。2つの選択肢を「vs」で区切って答えてください。
