カテゴリ名,プロンプト
キャラクターのポーズ,お絵描きに使えるキャラクターのポーズを一つ提案してください（例：「片膝をつく」「振り返る」など）。説明は不要です。ポーズだけを簡潔に答えてください。
表情お題,お絵描きに使える表情のお題を一つ提案してください（例：「困り顔」「得意げな笑顔」など）。説明は不要です。表情だけを簡潔に答えてください。
構図お題,お絵描きに使える構図のアイデアを一つ提案してください（例：「俯瞰視点」「あおり構図」など）。説明は不要です。構図だけを答えてください。
シチュエーション,お絵描きに使えるシチュエーションを一つ提案してください（例：「雨に濡れる」「本を読んでいる」など）。説明は不要です。シチュエーションだけを答えてください。
季節・天気,お絵描きに使える季節や天気のテーマを一つ提案してください（例：「桜吹雪の中」「雪の日」など）。説明は不要です。テーマだけを答えてください。
衣装・ファッション,お絵描きに使える衣装やファッションのお題を一つ提案してください（例：「ゴシック服」「パーカー」など）。説明は不要です。衣装だけを答えてください。
色縛り,お絵描きに使える色のテーマを一つ提案してください（例：「青を基調とした絵」「暖色系のみ」など）。説明は不要です。色のテーマだけを答えてください。
感情表現,お絵描きで表現する感情のお題を一つ提案してください（例：「喜び」「切なさ」など）。説明は不要です。感情だけを答えてください。
時間帯,お絵描きに使える時間帯のテーマを一つ提案してください（例：「夕暮れ時」「真夜中」など）。説明は不要です。時間帯だけを答えてください。
場所・ロケーション,お絵描きに使える場所のお題を一つ提案してください（例：「図書館」「屋上」など）。説明は不要です。場所だけを答えてください。
アクション・動作,お絵描きに使えるアクションや動作を一つ提案してください（例：「走る」「ジャンプ」など）。説明は不要です。動作だけを答えてください。
持ち物・小物,お絵描きに使える持ち物や小物のお題を一つ提案してください（例：「傘」「楽器」など）。説明は不要です。アイテムだけを答えてください。
背景テーマ,お絵描きに使える背景のテーマを一つ提案してください（例：「星空」「都会の夜景」など）。説明は不要です。背景テーマだけを答えてください。
画風縛り,お絵描きに使える画風やタッチのお題を一つ提案してください（例：「水彩風」「線画のみ」など）。説明は不要です。画風だけを答えてください。
2人の関係性,2人のキャラクターを描く際の関係性を一つ提案してください（例：「背中合わせ」「手を繋ぐ」など）。説明は不要です。関係性だけを答えてください。
コントラスト,お絵描きに使える対比のテーマを一つ提案してください（例：「光と影」「大きいものと小さいもの」など）。説明は不要です。対比テーマだけを答えてください。
ムード・雰囲気,お絵描きに使える雰囲気のお題を一つ提案してください（例：「ノスタルジック」「幻想的」など）。説明は不要です。雰囲気だけを答えてください。
イベント・行事,お絵描きに使えるイベントや行事のお題を一つ提案してください（例：「お祭り」「誕生日」など）。説明は不要です。イベントだけを答えてください。
小道具との組み合わせ,キャラクターと組み合わせる小道具を一つ提案してください（例：「花束」「風船」など）。説明は不要です。小道具だけを答えてください。
お題3つ組み合わせ,お絵描きに使える3つの要素を組み合わせたお題を提案してください（例：「女の子×猫×月」など）。説明は不要です。3つの要素を「×」で区切って答えてください。
テーマワード,お絵描きのテーマとなる抽象的なワードを一つ提案してください（例：「約束」「旅立ち」など）。説明は不要です。ワードだけを答えてください。
